Metabolite_physical,Weight_physical,Direction_physical,Rank_physical,Stability_physical,AbsWeight_physical
32065,-0.012560431,Negative,1462,1,0.012560431
10084,-0.012557818,Negative,1463,1,0.012557818
95040,-0.012554222,Negative,1464,0.8,0.012554222
50463,-0.012549747,Negative,1465,1,0.012549747
57954,-0.012549159,Negative,1466,1,0.012549159
66372,0.012515202,Positive,1467,1,0.012515202
25230,-0.012514968,Negative,1468,1,0.012514968
34567,-0.012508168,Negative,1469,1,0.012508168
92996,0.012502715,Positive,1470,1,0.012502715
23537,-0.0124808,Negative,1471,1,0.0124808
95314,-0.012476452,Negative,1472,0.8,0.012476452
15618,0.012439891,Positive,1473,1,0.012439891
52947,0.012434112,Positive,1474,1,0.012434112
20142,0.012422901,Positive,1475,0.9,0.012422901
52037,-0.012419878,Negative,1476,0.9,0.012419878
26756,0.012381855,Positive,1477,0.9,0.012381855
75563,0.012364934,Positive,1478,1,0.012364934
54251,-0.012361343,Negative,1479,0.9,0.012361343
19730,0.012350472,Positive,1480,1,0.012350472
43604,-0.012311802,Negative,1481,1,0.012311802
22692,-0.012280156,Negative,1482,1,0.012280156
17528,0.012278167,Positive,1483,1,0.012278167
36807,-0.012274901,Negative,1484,0.8,0.012274901
87386,0.012258273,Positive,1485,1,0.012258273
103416,0.01224575,Positive,1486,1,0.01224575
44929,0.01224241,Positive,1487,1,0.01224241
63615,-0.012238866,Negative,1488,0.9,0.012238866
7070,-0.012233627,Negative,1489,1,0.012233627
31734,-0.012229513,Negative,1490,1,0.012229513
13455,0.012187406,Positive,1491,0.9,0.012187406
64246,-0.01217782,Negative,1492,1,0.01217782
18549,0.012171298,Positive,1493,1,0.012171298
77114,0.012165798,Positive,1494,1,0.012165798
34844,-0.012161181,Negative,1495,0.9,0.012161181
75799,0.012152856,Positive,1496,1,0.012152856
28112,0.012117096,Positive,1497,1,0.012117096
88971,0.012115965,Positive,1498,1,0.012115965
7899,-0.012102512,Negative,1499,1,0.012102512
34691,-0.012093002,Negative,1500,1,0.012093002
25233,-0.012088384,Negative,1501,1,0.012088384
38103,-0.012081215,Negative,1502,1,0.012081215
67209,0.012075475,Positive,1503,1,0.012075475
37485,-0.012071969,Negative,1504,1,0.012071969
56117,-0.012069527,Negative,1505,1,0.012069527
66979,-0.012069355,Negative,1506,0.9,0.012069355
8656,-0.012060873,Negative,1507,1,0.012060873
81125,0.012057384,Positive,1508,1,0.012057384
8493,-0.012053998,Negative,1509,0.9,0.012053998
4907,-0.012044026,Negative,1510,1,0.012044026
85433,-0.012035516,Negative,1511,0.9,0.012035516
7013,-0.012030361,Negative,1512,1,0.012030361
71737,0.012015966,Positive,1513,0.9,0.012015966
73710,0.012013874,Positive,1514,0.9,0.012013874
31720,-0.011993801,Negative,1515,1,0.011993801
90397,-0.011978458,Negative,1516,1,0.011978458
70872,0.011963512,Positive,1517,0.9,0.011963512
13107,0.011962998,Positive,1518,0.8,0.011962998
77340,-0.011960029,Negative,1519,0.9,0.011960029
43924,0.011944162,Positive,1520,1,0.011944162
23015,0.011937509,Positive,1521,0.9,0.011937509
29077,-0.01193123,Negative,1522,1,0.01193123
13737,0.011930335,Positive,1523,0.9,0.011930335
5083,-0.011929121,Negative,1524,1,0.011929121
16597,0.011928122,Positive,1525,1,0.011928122
90123,0.011925342,Positive,1526,1,0.011925342
4856,0.011921306,Positive,1527,1,0.011921306
21388,0.011918207,Positive,1528,0.8,0.011918207
101922,-0.011910906,Negative,1529,1,0.011910906
41408,-0.011885799,Negative,1530,1,0.011885799
87404,0.011871592,Positive,1531,1,0.011871592
75117,0.011851337,Positive,1532,0.9,0.011851337
27072,-0.011835858,Negative,1533,1,0.011835858
18628,-0.011784375,Negative,1534,0.9,0.011784375
12305,0.011772818,Positive,1535,1,0.011772818
26169,-0.011758151,Negative,1536,1,0.011758151
44579,-0.011753877,Negative,1537,1,0.011753877
36695,0.011745935,Positive,1538,0.9,0.011745935
50780,-0.011744139,Negative,1539,0.9,0.011744139
25127,-0.011737078,Negative,1540,1,0.011737078
85059,0.011734426,Positive,1541,1,0.011734426
70718,0.01172658,Positive,1542,1,0.01172658
80758,0.011725425,Positive,1543,1,0.011725425
81535,0.011723034,Positive,1544,1,0.011723034
56223,-0.011719749,Negative,1545,1,0.011719749
87501,0.011707391,Positive,1546,1,0.011707391
33286,-0.011696788,Negative,1547,0.9,0.011696788
76591,0.011688585,Positive,1548,1,0.011688585
6898,0.011682122,Positive,1549,0.9,0.011682122
41335,0.011671465,Positive,1550,0.9,0.011671465
19305,0.011662468,Positive,1551,0.9,0.011662468
93358,-0.011650097,Negative,1552,1,0.011650097
93635,0.011646186,Positive,1553,1,0.011646186
47641,-0.011643682,Negative,1554,1,0.011643682
7518,-0.011640383,Negative,1555,1,0.011640383
111127,0.011633463,Positive,1556,1,0.011633463
45352,0.011617055,Positive,1557,1,0.011617055
21508,-0.011604312,Negative,1558,0.9,0.011604312
29714,-0.011591044,Negative,1559,1,0.011591044
80070,0.011567639,Positive,1560,1,0.011567639
18964,0.011564477,Positive,1561,0.9,0.011564477
67206,-0.011560937,Negative,1562,0.9,0.011560937
139652,0.011541956,Positive,1563,0.9,0.011541956
31712,-0.011525595,Negative,1564,0.9,0.011525595
21238,-0.011506848,Negative,1565,1,0.011506848
70238,0.011501588,Positive,1566,1,0.011501588
50658,-0.011500071,Negative,1567,0.9,0.011500071
27938,-0.011496666,Negative,1568,1,0.011496666
31760,-0.011491486,Negative,1569,1,0.011491486
66296,0.011490138,Positive,1570,0.8,0.011490138
53954,-0.011490053,Negative,1571,1,0.011490053
82321,-0.011475143,Negative,1572,0.9,0.011475143
69815,0.011467905,Positive,1573,1,0.011467905
88956,0.011462408,Positive,1574,1,0.011462408
26884,-0.01145688,Negative,1575,1,0.01145688
4905,-0.011443917,Negative,1576,0.9,0.011443917
77803,-0.011434361,Negative,1577,0.9,0.011434361
54181,-0.011396272,Negative,1578,1,0.011396272
58584,-0.011372388,Negative,1579,0.8,0.011372388
17706,0.01136645,Positive,1580,1,0.01136645
29888,-0.01136587,Negative,1581,1,0.01136587
31816,0.011362483,Positive,1582,1,0.011362483
35266,0.011353498,Positive,1583,0.8,0.011353498
41298,0.011348848,Positive,1584,1,0.011348848
73482,-0.011314769,Negative,1585,0.8,0.011314769
30838,-0.011311431,Negative,1586,1,0.011311431
52531,-0.011310837,Negative,1587,1,0.011310837
51757,-0.011289456,Negative,1588,1,0.011289456
13885,-0.011286714,Negative,1589,1,0.011286714
49039,-0.011286166,Negative,1590,0.9,0.011286166
38247,-0.011275346,Negative,1591,1,0.011275346
40881,-0.011273394,Negative,1592,1,0.011273394
27838,-0.01126231,Negative,1593,0.9,0.01126231
34766,-0.011252544,Negative,1594,1,0.011252544
37088,-0.011224794,Negative,1595,1,0.011224794
106418,0.011217097,Positive,1596,1,0.011217097
28495,-0.01121252,Negative,1597,1,0.01121252
32692,-0.011212121,Negative,1598,1,0.011212121
136392,0.01120734,Positive,1599,1,0.01120734
74729,0.011202258,Positive,1600,0.9,0.011202258
27073,-0.011194613,Negative,1601,1,0.011194613
81907,0.01116857,Positive,1602,0.9,0.01116857
139978,-0.011139907,Negative,1603,0.9,0.011139907
8092,-0.011138085,Negative,1604,1,0.011138085
39248,0.011126632,Positive,1605,0.8,0.011126632
18943,0.011123397,Positive,1606,1,0.011123397
18663,0.011117835,Positive,1607,1,0.011117835
71243,0.011099184,Positive,1608,0.9,0.011099184
5110,-0.011096888,Negative,1609,1,0.011096888
26800,0.011087634,Positive,1610,1,0.011087634
70270,0.011077415,Positive,1611,1,0.011077415
54167,0.01107685,Positive,1612,0.9,0.01107685
42636,-0.011064929,Negative,1613,1,0.011064929
25161,-0.011054986,Negative,1614,1,0.011054986
99472,-0.011050378,Negative,1615,0.9,0.011050378
12947,-0.011048325,Negative,1616,0.9,0.011048325
70879,0.011026289,Positive,1617,0.9,0.011026289
24296,0.011009563,Positive,1618,0.8,0.011009563
40023,0.010993322,Positive,1619,0.9,0.010993322
9202,-0.010979631,Negative,1620,1,0.010979631
92263,-0.010960863,Negative,1621,0.9,0.010960863
33280,-0.010958807,Negative,1622,1,0.010958807
64652,-0.010940329,Negative,1623,0.9,0.010940329
32586,-0.010939858,Negative,1624,0.9,0.010939858
27106,0.01092727,Positive,1625,1,0.01092727
29464,-0.010916395,Negative,1626,0.9,0.010916395
6013,-0.010916377,Negative,1627,0.9,0.010916377
52678,-0.010915545,Negative,1628,0.8,0.010915545
103684,-0.010903364,Negative,1629,0.9,0.010903364
4842,-0.010902817,Negative,1630,1,0.010902817
51070,-0.010884284,Negative,1631,0.9,0.010884284
39304,-0.01087511,Negative,1632,1,0.01087511
86842,0.010863451,Positive,1633,1,0.010863451
31515,0.010848806,Positive,1634,0.9,0.010848806
37346,0.010823918,Positive,1635,0.9,0.010823918
91876,0.010817656,Positive,1636,0.9,0.010817656
27344,-0.010810299,Negative,1637,1,0.010810299
89519,0.01079502,Positive,1638,0.9,0.01079502
36371,-0.010789605,Negative,1639,1,0.010789605
80127,0.010788922,Positive,1640,0.9,0.010788922
15781,0.010778897,Positive,1641,0.9,0.010778897
49192,-0.010756766,Negative,1642,1,0.010756766
80354,0.010756236,Positive,1643,1,0.010756236
57488,-0.010755515,Negative,1644,0.9,0.010755515
76560,0.010707231,Positive,1645,0.9,0.010707231
73336,-0.010692366,Negative,1646,0.9,0.010692366
