"Metabolite","Weight","Direction","Rank","Stability"
"87359",0.0264450783286991,"Positive",477,1
"36491",-0.02644207581371,"Negative",478,1
"35431",-0.026438290629386,"Negative",479,1
"83422",0.0264243598690916,"Positive",480,1
"45029",0.0264046050732564,"Positive",481,0.9
"5461",-0.0263933798091263,"Negative",482,1
"86899",0.0263380962328072,"Positive",483,1
"82133",0.0263093840808025,"Positive",484,1
"41830",-0.0262840037072023,"Negative",485,1
"85187",0.0262696137429212,"Positive",486,1
"91918",0.0262686947702273,"Positive",487,1
"86504",0.0262291711950356,"Positive",488,1
"66128",0.026224560264329,"Positive",489,1
"26826",-0.0262174753513448,"Negative",490,1
"53903",-0.0262107477414424,"Negative",491,1
"69007",0.0262073951280415,"Positive",492,1
"28140",-0.0261992531411385,"Negative",493,1
"40651",-0.0261722876943393,"Negative",494,1
"138363",0.0260382498867137,"Positive",495,1
"88342",0.0260079618998415,"Positive",496,1
"9660",-0.0259510907543624,"Negative",497,1
"68781",0.0259441001878239,"Positive",498,1
"18715",0.0259309329815246,"Positive",499,1
"140242",0.0258890731703842,"Positive",500,1
"8123",-0.0258847484833887,"Negative",501,1
"7245",-0.0258528834185295,"Negative",502,1
"92194",-0.0258502613818394,"Negative",503,1
"32687",-0.0257917256955259,"Negative",504,1
"34338",-0.0257413336328444,"Negative",505,1
"22666",-0.0256869725493606,"Negative",506,1
"25762",-0.0256856076706111,"Negative",507,1
"91771",0.0256712610676457,"Positive",508,1
"23641",-0.0256596960129642,"Negative",509,1
"14852",-0.0256593153351664,"Negative",510,1
"92304",0.0256478870885455,"Positive",511,1
"69812",0.0256410529302301,"Positive",512,1
"32367",-0.0256373807322858,"Negative",513,1
"38633",0.0256198822464606,"Positive",514,1
"7622",-0.0256180854678457,"Negative",515,1
"75451",0.0255928835811644,"Positive",516,1
"41087",0.0255662750233767,"Positive",517,1
"45825",-0.0255431515246145,"Negative",518,1
"114551",0.0255284219512579,"Positive",519,1
"46331",0.0255131204194649,"Positive",520,1
"113420",0.0255018796563154,"Positive",521,1
"35965",-0.0254975411968545,"Negative",522,1
"28662",0.0254940689357973,"Positive",523,1
"25665",-0.0254781493939066,"Negative",524,1
"17729",0.0254412415898106,"Positive",525,1
"23230",-0.0254406944415136,"Negative",526,1
"68745",0.0254315018995932,"Positive",527,1
"13167",0.025400774942667,"Positive",528,1
"15508",0.0253262473044751,"Positive",529,1
"18979",0.0253239287445379,"Positive",530,1
